Department,Class,Name,Description,Prerequisite(s),Credits,Semesters Offered,Required?
CS,104,Applied Computing,"An introduction to problem solving and program design for engineering students. Coverage includes algorithmic thinking, problem decomposition, types and expressions, functions and parameter passing, control structures, I/O, simple data structures, and classes (including the use of inheritance).",,2,FA,0
CS,106,Introduction to Scientific Computation and Modeling,"An introduction to computing as a tool for science, emphasizing programming as a methodology for problem solving, quantitative data analysis, and simulation in science and mathematics. This includes in silico modeling of natural phenomena, precise specification of a problem, design of its algorithmic solution, testing, debugging, and maintaining software, using scripting to increase scientific productivity, and the use of existing scientific software libraries. A secondary emphasis is the discussion of breadth topics, including historical, theoretical, ethical and biblical perspectives on computing as a discipline. ",,4,"FA, SP",0
CS,108,Introduction to Computing,"An introduction to computing as a problem-solving discipline. A primary emphasis is on programming as a methodology for problem solving, including: the precise specification of a problem, the design of its solution, the encoding of that solution, and the testing, debugging and maintenance of programs. A secondary emphasis is the discussion of topics from the breadth of computing including historical, theoretical, ethical and biblical perspectives on computing as a discipline.",,4,"FA, SP",1
CS,112,Introduction to Data Structures,"Using C++ classes to introduce and implement the elementary data structures including lists, stacks, queues and trees. Advanced programming techniques such as indirection, inheritance, and templates are introduced, along with an emphasis on algorithm analysis, efficiency, and good programming style.",CS104 OR CS106 OR CS108,4,"FA, SP",1
CS,212,Data Structures and Algorithms,"A systematic study of algorithms and their application to more advanced data structures, including trees, heaps, hash tables, and graphs. Algorithms and data structures are analyzed in their use of both time and space, and the choice of data structure in problem solving is studied. Techniques for algorithm design are introduced. Theoretical issues, such as optimality, best- and worst-case performance, and limitations of algorithms are studied, as well as implementation issues.",CS112,4,FA,1
CS,214,Programming Language Concepts,"Design principles and implementation issues of contemporary programming languages. Topics covered include programming paradigms; the syntax and semantics of programming language constructs, including those that support concurrent, parallel, and distributed processing; translation of high-level languages to machine language; formal languages and the automata that recognize them. Several different languages are introduced and examined to illustrate these topics.",CS112,4,SP,1
CS,232,Operating Systems and Networking,"An introduction to the major concepts modern operating systems must address. Topics include operating system structure, processes and threads, inter-process communication and synchronization, scheduling, main and secondary memory management, file systems, networking, client-server systems, distributed systems.","CS112, ENGR220",4,SP,1
CS,262,Software Engineering,"A survey of software engineering principles including software project management, system and requirements analysis, the design and implementation of software and information systems, design patterns, software quality assurance and testing, and software maintenance","CS112, junior standing",4,FA,1
CS,295,Computing Seminar,"This seminar explores a range of current topics in computing, including topics in research and practice. Department majors must take this course three times during their junior and senior years.",,0,"FA, SP",1
CS,195,Computing Seminar,"This seminar explores a range of current topics in computing, including topics in research and practice. Students intending to major in a computing-related field must take this course three times in their freshman and sophomore years.",,0,"FA, SP",1
CS,384,Perspectives on Computing,"This course addresses social, ethical, legal and professional issues that arise in computer science from a reformed, Christian perspective. Social issues concerning the computerization of society include privacy, security, the digital divide and changes in the way people receive information and relate with others. Ethical discussion starts with a survey of ethical theories and covers professional, ethical and legal issues in areas including intellectual property, privacy, liability and professional codes of conduct. In addition, some foundational issues are covered, including materialist vs. Christian view of what it means to be a person.",Senior standing,4,SP,1
CS,396,Senior Project in Computing,"This is the first course of a two-semester sequence, in which the student will complete a department-approved computing project. This capstone experience will give students the opportunity to apply concepts and techniques learned in the classroom by developing a significant computing application. The first semester will typically focus on any necessary library research, design and prototyping, implementation and wiring should normally be done in the second semester. The student will submit regular progress reports to a supervising faculty member and submit a preliminary report on the project's status for evaluation by a departmental committee.",Senior standing,2,FA,1
CS,398,Senior Project in Computing II,A continuation of CS 396. The student will submit regular progress reports to a supervising faculty member and submit a final report for evaluation by a departmental committee.,Senior standing,2,SP,1
CS,300,Special Topics in Computer Science,Advanced study of selected topics of current interest in computer science. Topics vary by year. Consult the instructor or the department website for the specific topic the current offering. This course may be repeated for credit if the special topics differ. Prerequisite(s): varying; see department website.,,2,"FA, SP",0
CS,312,"Logic, Computability, and Complexity","An introduction to first-order logic, computability and computational complexity. Topics covered include soundness and completeness of a formal proof system, computability and non-computability, and computational complexity with an emphasis on NP-completeness. ","MATH251, MATH252",4,FA,0
CS,320,Advanced Computer Architecture,"Principles of computer design, instruction set design principles, instruction-level parallelism, cache principles, and multiprocessor systems",,2,SP,0
CS,326,Embedded Systems and the Internet of Things,"An introduction to topics in embedded systems and the Internet of Things (IoT) including hardware and software considerations for special-purpose computing applications that interact with the physical world. Hardware topics include microcontrollers, I/O interfacing, sensors, and actuators. Software topics include scheduling and real-time considerations, IoT network protocols, the Web of things, and embedded programming. Additional topics include discussions of related social and ethical issues such as security, privacy, reliability, and the impact of automation. Lectures will be combined with hands-on lab exercises and a final project.","CS112, ENGR220",4,SP,0
CS,332,Advanced Computer Networks,"This course investigates advanced topics in the field of computer networking. Students will explore the implementation of TCP, IPv6, routing protocols, software-defined networking, and other advanced topics. Issues of justice and a reformed Christian perspective on network access will be explored.",CS232,2,FA,0
